key,Enum_name,Type_Seat,Const_Number,UID,Candidate_Name,motor_cost,Motor Number
uuid:fc28b082-892a-4876-be63-a7cfda65e1ed,Hamza Hashmi,NA,16,-9999,Sardar Sheryar Khan,0,0
uuid:9e1ae6ce-6b94-4452-9e60-f3837c7b608f,Hamza Hashmi,NA,16,-9999,Sher Bahadar Khan,0,0
uuid:723ce61a-d820-4075-a8cd-ae9ea4d7d5d5,Hamza Hashmi,NA,16,-9999,Syed Hassan Raza,0,0
uuid:87464834-9e4e-4917-a2fe-fbc4093d917c,Hamza Hashmi,NA,16,771,Ayaz Khan Jadoon,0,0
uuid:ceef29e4-9065-4b48-8d96-f90f4b778f05,Hamza Hashmi,NA,16,776,Muhammad Asghar Shah,0,0
uuid:7c0c275b-2542-4e55-a563-932a1e0185dc,Hamza Hashmi,NA,16,777,Muhammad Irshad,0,0
uuid:287e5d8d-ca1a-4567-b857-f4a9287f2390,Hamza Hashmi,NA,16,781,Muhammad Waqas,0,0
uuid:79b24b61-e0f6-45aa-a194-0aee405cc572,Hamza Hashmi,NA,16,782,Muraad Sher,0,0
uuid:b10c84ae-bd55-458b-ab31-3d7f9fdea2cc,Hamza Hashmi,NA,16,783,Rizwan Khan,0,0
uuid:e6b2ff4c-4540-4aa7-a94d-28ae3444ec1f,Hamza Hashmi,NA,16,784,Sardar Maqsood Ayub,0,0
uuid:f4143062-ec4b-43e0-97d4-47f31bd081ba,Hamza Hashmi,NA,16,899,Rizwan Saeed,0,0
uuid:b8a04030-ae2c-4fc8-a457-5187aa6a6738,Hamza Hashmi,NA,16,901,Syed Hamid Shah,0,0
uuid:c70af92f-89bf-4370-876d-0ef3398ab363,Hamza Hashmi,NA,17,-9999,Rashid Zaman,0,0
uuid:b30f2cf1-2b4d-46e5-8e7e-280854b0b370,Hamza Hashmi,NA,17,-9999,Wakalat Khan,0,0
uuid:96a21edc-043f-48d2-925a-98fd63118ed7,Hamza Hashmi,NA,17,891,Habib Ullah,0,0
uuid:6982c683-3dfb-4555-9f9b-89284820c897,Hamza Hashmi,NA,17,892,Irum Fatima,0,0
uuid:d014c641-1233-4a6e-8779-ca28b3e75d60,Hamza Hashmi,NA,17,895,Muhammad Zubair,0,0
uuid:4c3c34f9-7143-4791-9254-5f655028ab49,Hamza Hashmi,NA,18,-9999,Atta Ul Haq,0,0
uuid:ca289e98-5c18-4545-aee7-2a6a9e8e74bc,Hamza Hashmi,NA,18,996,Khalid Mehmood,0,0
uuid:e0aff1a0-01cb-43ab-86ac-bf3c7e36c115,Hamza Hashmi,NA,18,998,Masood Jabbar,0,0
uuid:750e15ce-cd00-4355-8f65-dd853011b290,Hamza Hashmi,NA,18,999,Muhammad Islam,0,0
uuid:f1c8e4fd-9e62-416f-ad1a-60dbe9f5bc24,Hamza Hashmi,NA,18,1001,Muhammad Tariq,0,0
uuid:282d6de0-cf55-4aa4-9e06-ea522b5f1e09,Hamza Hashmi,NA,18,1004,Shah Nawaz,-99,0
uuid:700c1851-db95-49bc-bbf5-c3b7a5d7fd13,Hamza Hashmi,NA,18,1005,Shams Ul Qamar,0,0
uuid:7a0af91b-2eb7-403f-a711-b3bc6aa7d14f,Hamza Hashmi,NA,19,-9999,Billand Iqbal,0,0
